"","LSOA21CD","IMD_2025_decile","IMD_2025_score"
"20309","E01021383",8,8.577
"20310","E01021384",10,5.378
"20311","E01021385",7,11.508
"20312","E01021386",10,4.388
"20313","E01021387",4,22.693
"20314","E01021388",5,18.792
"20315","E01021389",8,8.923
"20316","E01021390",9,6.393
"20317","E01021391",2,33.571
"20318","E01021392",5,18.358
"20319","E01021393",5,20.641
"20320","E01021394",5,20.203
"20321","E01021395",8,9.497
"20322","E01021396",7,11.921
"20323","E01021397",7,12.383
"20324","E01021398",6,17.296
"20325","E01021399",5,19.289
"20326","E01021400",6,14.352
"20327","E01021401",4,23.093
"20328","E01021402",8,8.454
"20329","E01021403",10,5.305
"20330","E01021404",6,14.766
"20331","E01021405",8,9.912
"20332","E01021406",6,16.454
"20333","E01021407",7,12.91
"20334","E01021408",7,11.484
"20335","E01021409",8,8.657
"20336","E01021410",4,23.928
"20337","E01021411",6,16.423
"20338","E01021412",6,16.633
"20339","E01021413",5,19.214
"20340","E01021414",4,23.395
"20341","E01021415",4,22.392
"20342","E01021416",7,13.698
"20343","E01021417",5,18.569
"20344","E01021418",2,34.527
"20345","E01021419",5,19.738
"20346","E01021420",5,20.768
"20347","E01021422",4,21.572
"20348","E01021423",3,28.222
"20349","E01021424",7,11.36
"20350","E01021425",3,29.163
"20351","E01021426",4,24.473
"20352","E01021427",3,28.068
"20353","E01021428",9,6.945
"20354","E01021429",4,22.724
"20355","E01021430",5,18.996
"20356","E01021431",9,5.516
"20357","E01021432",5,21.228
"20358","E01021433",7,13.681
"20359","E01021434",8,10.365
"20360","E01021435",6,14.277
"20361","E01021437",4,26.272
"20362","E01021438",10,3.404
"20363","E01021441",8,10.342
"20364","E01021442",10,4.326
"20365","E01021443",4,22.977
"20366","E01021444",6,16.652
"20367","E01021445",9,7.04
"20368","E01021446",7,11.679
"20369","E01021447",10,1.797
"20370","E01021448",5,18.227
"20371","E01021449",6,14.938
"20372","E01021450",10,4.016
"20373","E01021451",3,28.488
"20374","E01021452",10,4.542
"20375","E01021453",10,4.184
"20376","E01021454",9,6.536
"20377","E01021455",10,1.285
"20378","E01021456",10,4.461
"20379","E01021457",7,13.897
"20380","E01021458",9,7.9
"20381","E01021459",10,2.09
"20382","E01021460",6,14.866
"20383","E01021461",3,28.997
"20384","E01021462",9,8.376
"20385","E01021463",7,13.388
"20386","E01021464",6,14.519
"20387","E01021465",10,4.901
"20388","E01021466",10,0.924
"20389","E01021467",10,2.716
"20390","E01021468",8,10.85
"20391","E01021469",7,12.03
"20392","E01021470",7,13.789
"20393","E01021471",9,6.527
"20394","E01021472",6,15.039
"20395","E01021473",6,15.202
"20396","E01021474",10,2.37
"20397","E01021475",9,6.019
"20398","E01021476",6,15.148
"20399","E01021477",8,8.464
"20400","E01021478",9,7.753
"20401","E01021479",9,7.307
"20402","E01021480",9,6.839
"20403","E01021481",9,5.707
"20404","E01021482",7,11.906
"20405","E01021483",9,5.708
"20406","E01021484",5,17.956
"20407","E01021485",2,41.882
"20408","E01021486",2,40.856
"20409","E01021487",5,19.631
"20410","E01021488",2,35.35
"20411","E01021489",5,19.479
"20412","E01021490",2,35.173
"20413","E01021491",5,19.175
"20414","E01021492",4,25.433
"20415","E01021493",5,17.867
"20416","E01021494",5,20.442
"20417","E01021495",4,23.74
"20418","E01021496",4,24.18
"20419","E01021497",5,19.945
"20420","E01021498",3,31.037
"20421","E01021499",5,17.66
"20422","E01021500",2,35.807
"20423","E01021501",4,22.588
"20424","E01021502",6,15.864
"20425","E01021503",3,27.754
"20426","E01021504",4,21.868
"20427","E01021505",6,15.391
"20428","E01021506",3,27.483
"20429","E01021507",1,51.94
"20430","E01021508",4,26.248
"20431","E01021509",6,14.211
"20432","E01021510",7,11.841
"20433","E01021511",8,8.379
"20434","E01021512",8,8.977
"20435","E01021513",8,10.476
"20436","E01021514",7,11.539
"20437","E01021515",7,12.79
"20438","E01021516",8,9.356
"20439","E01021517",9,6.954
"20440","E01021518",5,20.711
"20441","E01021519",9,6.447
"20442","E01021520",7,14.072
"20443","E01021521",7,12.494
"20444","E01021522",4,21.757
"20445","E01021523",8,9.161
"20446","E01021524",7,11.206
"20447","E01021525",5,18.147
"20448","E01021526",9,6.746
"20449","E01021527",8,8.495
"20450","E01021528",8,11.092
"20451","E01021529",3,27.021
"20452","E01021530",8,9.096
"20453","E01021531",8,10.968
"20454","E01021532",8,8.893
"20455","E01021533",7,12.101
"20456","E01021535",5,18.337
