"LSOA11CD","IMD_2019_decile","IMD_2019_score"
"E01022562",7,13.666
"E01022171",10,1.684
"E01021735",9,7.788
"E01021858",3,33.026
"E01021904",7,13.729
"E01007140",3,29.136
"E01022033",4,24.131
"E01007171",9,7.808
"E01006994",3,30.496
"E01021994",5,20.801
"E01021915",4,23.153
"E01007095",8,9.907
"E01016370",8,9.406
"E01015843",3,26.912
"E01016365",8,11.21
"E01015734",4,22.096
"E01017484",3,32.989
"E01017469",5,20.496
"E01015878",7,12.959
"E01015848",7,11.911
"E01015639",1,52.668
"E01015595",2,40.854
"E01015710",9,8.53
"E01015564",10,5.887
"E01016339",8,9.549
"E01016486",3,29.809
"E01016356",4,25.196
"E01006731",1,61.352
"E01006767",1,63.673
"E01006803",6,15.703
"E01024627",2,36.495
"E01024452",5,19.462
"E01024575",8,9.735
"E01006825",9,5.971
"E01024622",3,30.596
"E01015935",3,30.038
"E01015612",2,40.279
"E01015873",4,22.233
"E01015949",5,18.078
"E01015957",4,23.201
"E01024641",3,28.839
"E01015950",6,16.865
"E01029192",7,11.803
"E01029308",10,4.627
"E01029181",7,13.772
"E01029317",6,17.595
"E01029341",3,29.315
"E01029472",4,26.211
"E01029499",2,37.196
"E01029524",6,17.498
"E01018680",9,7.174
"E01026461",8,10.925
"E01018690",10,4.183
"E01026543",9,6.274
"E01029042",2,40.033
"E01029067",5,21.264
"E01026553",6,17.585
"E01026351",7,11.889
"E01029264",9,6.787
"E01026430",5,18.112
"E01026339",6,15.67
"E01015768",5,17.666
"E01015743",2,39.093
"E01026328",2,40.558
"E01026264",6,17.456
"E01026456",7,14.051
"E01026424",6,14.521
"E01029142",8,10.646
"E01029471",6,14.913
"E01025998",9,7.046
"E01026035",8,8.642
"E01026444",4,26.362
"E01017748",5,20.837
"E01017719",9,7.291
"E01017735",8,9.928
"E01017915",7,13.888
"E01017505",4,22.087
"E01017188",2,42.58
"E01017617",6,14.321
"E01017802",8,9.608
"E01018124",10,5.403
"E01018069",5,18.839
"E01022376",7,11.525
"E01022275",8,9.093
"E01022406",10,4.043
"E01022431",9,6.162
"E01018015",10,5.184
"E01016628",10,1.904
"E01017726",8,9.258
"E01016619",10,4.452
"E01017043",5,21.106
"E01016788",9,7.999
"E01016648",10,5.478
"E01016694",10,2.246
"E01017733",7,12.559
"E01017216",2,40.447
"E01017069",8,9.038
"E01017530",10,5.26
"E01017276",2,36.254
"E01016553",10,5.382
"E01016708",10,3.325
"E01016586",10,5.516
"E01006982",3,27.937
"E01006836",3,33.028
"E01016491",7,12.041
"E01006684",8,9.437
"E01006841",8,8.993
"E01018152",8,10.738
"E01006906",3,26.894
"E01006581",8,10.447
"E01024498",1,55.962
"E01006547",1,84.368
"E01024685",2,38.556
"E01024723",7,14.007
"E01006605",1,49.145
"E01016394",1,46.48
"E01006576",5,19.675
"E01016931",8,10.306
"E01016863",1,49.946
"E01016999",9,6.461
"E01016800",9,7.833
"E01022559",10,5.782
"E01022384",9,8.048
"E01022530",10,1.277
"E01022291",1,44.637
"E01018168",7,11.397
"E01018061",6,16.559
"E01018139",5,20.266
"E01016868",1,69.404
"E01017067",4,23.091
"E01017044",4,23.088
"E01018226",3,28.351
"E01030407",10,3.104
"E01030414",7,12.929
"E01030026",3,30.226
"E01030119",8,10.246
"E01030431",7,11.732
"E01030379",10,5
"E01029609",6,14.746
"E01030399",6,15.007
"E01023911",9,6.375
"E01030419",10,5.623
"E01023755",5,20.427
"E01023861",5,20.187
"E01030471",8,10.74
"E01030175",9,6.998
"E01030430",10,4.773
"E01030334",9,7.372
"E01030293",8,8.822
